Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
NABIL,2024-03-18,473.0,473.0,459.0,461.0,461.03,36185.0,464.0,16682507.5,460,-3.0,14.0,-0.65,3.05,-0.01,519.23,546.19,653.0,422.0
NABIL,2024-03-19,460.0,462.0,456.0,460.0,459.95,34096.0,461.0,15682309.0,452,-1.0,6.0,-0.22,1.32,0.01,518.19,545.46,653.0,422.0
NABIL,2024-03-20,463.0,465.0,456.0,457.0,458.72,31882.0,460.0,14624891.1,480,-3.0,9.0,-0.65,1.97,-0.38,517.14,544.72,653.0,422.0
NABIL,2024-03-21,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0
NABIL,2024-03-22,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0
NABIL,2024-03-23,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0
NABIL,2024-03-24,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0
NABIL,2024-03-25,458.0,458.0,444.4,445.0,445.82,33441.0,451.0,14908542.0,457,-6.0,13.6,-1.33,3.06,-0.18,514.94,543.08,653.0,422.0
NABIL,2024-03-26,445.1,448.0,440.0,441.8,442.81,40492.0,445.0,17930260.1,510,-3.2,8.0,-0.72,1.82,-0.23,513.79,542.22,653.0,422.0
NABIL,2024-03-27,442.0,447.0,440.0,440.5,441.09,30220.0,441.8,13329809.2,430,-1.3,7.0,-0.29,1.59,-0.13,512.56,541.33,653.0,422.0
NABIL,2024-03-28,442.0,444.0,440.0,442.5,441.25,32919.0,440.5,14525360.1,420,2.0,4.0,0.45,0.91,0.28,511.38,540.47,653.0,422.0
NABIL,2024-03-29,442.0,444.0,440.0,442.5,441.25,32919.0,440.5,14525360.1,420,2.0,4.0,0.45,0.91,0.28,511.38,540.47,653.0,422.0
NABIL,2024-03-30,442.0,444.0,440.0,442.5,441.25,32919.0,440.5,14525360.1,420,2.0,4.0,0.45,0.91,0.28,511.38,540.47,653.0,422.0
NABIL,2024-03-31,443.0,448.0,437.9,440.0,440.85,55639.0,442.5,24528721.5,648,-2.5,10.1,-0.56,2.31,-0.19,510.14,539.6,653.0,422.0
NABIL,2024-04-01,437.0,439.0,432.0,439.0,435.43,44256.0,440.0,19270228.2,524,-1.0,7.0,-0.23,1.62,0.81,508.86,538.74,653.0,422.0
NABIL,2024-04-02,437.0,440.0,432.0,436.0,436.93,26386.0,439.0,11528904.1,357,-3.0,8.0,-0.68,1.85,-0.21,507.57,537.86,653.0,422.0
NABIL,2024-04-03,439.0,439.0,432.0,434.0,434.28,40271.0,436.0,17488920.7,504,-2.0,7.0,-0.46,1.62,-0.06,506.28,536.99,653.0,422.0
NABIL,2024-04-04,434.0,436.0,432.7,434.0,434.14,37125.0,434.0,16117591.6,471,0.0,3.3,0.0,0.76,-0.03,504.95,536.13,653.0,422.0
NABIL,2024-04-05,434.0,436.0,432.7,434.0,434.14,37125.0,434.0,16117591.6,471,0.0,3.3,0.0,0.76,-0.03,504.95,536.13,653.0,422.0
NABIL,2024-04-06,434.0,436.0,432.7,434.0,434.14,37125.0,434.0,16117591.6,471,0.0,3.3,0.0,0.76,-0.03,504.95,536.13,653.0,422.0
NABIL,2024-04-07,434.0,438.0,430.1,438.0,432.57,83715.0,434.0,36212319.0,682,4.0,7.9,0.92,1.84,1.24,503.67,535.3,653.0,422.0
NABIL,2024-04-08,434.0,438.0,430.1,438.0,432.57,83715.0,434.0,36212319.0,682,4.0,7.9,0.92,1.84,1.24,503.67,535.3,653.0,422.0
NABIL,2024-04-09,446.7,446.7,432.0,439.0,439.31,51408.0,438.0,22583822.2,577,1.0,14.7,0.23,3.4,-0.07,502.37,534.49,653.0,422.0
NABIL,2024-04-10,440.0,442.0,436.0,438.0,438.69,46883.0,439.0,20567165.6,490,-1.0,6.0,-0.23,1.38,-0.16,501.07,533.54,653.0,422.0
NABIL,2024-04-11,440.0,442.0,436.0,438.0,438.69,46883.0,439.0,20567165.6,490,-1.0,6.0,-0.23,1.38,-0.16,501.07,533.54,653.0,422.0
NABIL,2024-04-12,440.0,442.0,436.0,438.0,438.69,46883.0,439.0,20567165.6,490,-1.0,6.0,-0.23,1.38,-0.16,501.07,533.54,653.0,422.0
NABIL,2024-04-13,440.0,442.0,436.0,438.0,438.69,46883.0,439.0,20567165.6,490,-1.0,6.0,-0.23,1.38,-0.16,501.07,533.54,653.0,422.0
NABIL,2024-04-14,438.0,446.0,436.6,438.0,438.82,37958.0,438.0,16656746.2,524,0.0,9.4,0.0,2.15,-0.19,499.79,532.61,653.0,422.0
NABIL,2024-04-15,438.0,439.0,434.1,435.0,435.74,33297.0,438.0,14508815.3,447,-3.0,4.9,-0.68,1.13,-0.17,498.54,531.72,653.0,422.0
